topic_no	test_statistic	p-value	topic_words	interpretable?_BC	category_BC	interpretable?_JR	category_JR	interpretable?_phi4	category_phi4
Topic_14	41.4474837582	0.0	general army order officer war soldier fight enemy fire force	yes	theme	yes	theme	no	
Topic_46	40.8688784434	0.0	god heart word leave die death eye soul child speak	no		yes	theme	no	
Topic_39	39.0076175481	9.022769293872264e-306	horse ride road saddle hill mile side turn pass head	yes	setting	yes	setting	no	
Topic_19	30.2005342475	3.0658667372833597e-189	thou thee thy hath master hast ti nay dost wilt	no		yes	style	no	
Topic_8	28.6006701023	3.0322513379869e-171	de la dat mme st court ter witt mademoiselle laurent	yes	main character	no		no	
Topic_28	26.4119801458	4.97692039968481e-148	lord duke lordship england castle majesty bishop st london gentleman	yes	main character	yes	main character	yes	setting
Topic_40	20.2158174465	3.569969442775096e-89	cry face fall stand arm away turn look mean shout	no		yes	style	no	
Topic_7	13.9505077125	8.088036296655933e-44	people city world white place talk country time crowd god	no		yes	theme	no	
Topic_33	13.9474987809	8.354505669773751e-44	captain ship officer deck nautilus master nemo board cabin mayo	yes	main character	yes	setting	no	
Topic_45	13.840168352	3.9002797220658535e-43	monsieur mademoiselle fandor la st laugh juve chevalier hanaud ah	no		yes	setting	no	
Topic_49	13.1692633195	2.9914605136229823e-39	madame ah countess count newman french smile husband giles st	no		yes	setting	no	
Topic_6	11.9370532423	1.1872772018752895e-32	day morning week work hour hand month leave return evening	no		no		no	
Topic_44	10.8558872294	2.64061483408642e-27	colonel officer gentleman take indian face pinto year herrick white	no		yes	setting	no	
Topic_10	10.0013805776	1.8936162567914176e-23	father daughter year money priest family brother wish church speak	no		yes	setting	no	
Topic_34	9.6630865485	5.261728962720444e-22	foot fire water tree side light rock white lie stand	no		yes	style	no	
Topic_47	8.2607042588	1.6112928363492474e-16	hear speak voice word call sound listen talk silence mean	no		no		no	
Topic_42	7.6532704168	2.111101776548205e-14	ye wi hill wad sit weel uncle fer folk ti	no		yes	style	no	
Topic_5	7.0761651804	1.5818961728540325e-12	sir gentleman master knight squire london inspector round ti matter	yes	main character	yes	setting	no	
Topic_11	4.7004248509	2.6272465236098124e-06	mother child daughter year sister wife little family live husband	no		yes	theme	no	
Topic_24	4.1884389746	2.8305663112426264e-05	boy child uncle lad school big right brother rover call	no		no		no	
Topic_2	3.816125636	0.0001363051	friend name money year meet gentleman call hand pay business	no		no		no	
Topic_1	3.7969299804	0.0001472111	hand hold arm head stand turn finger draw foot shoulder	no		no		no	
Topic_31	3.0146421194	0.0025783028	give keep wish show bring order eye life send help	no		no		no	
Topic_18	2.1952733667	0.0281637733	answer question speak continue turn remark exclaim word understand away	no		no		no	
Topic_13	1.6166020391	0.1059912269	boat sea water ship deck island land sail vessel shore	yes	setting	yes	setting	no	
Topic_27	-1.7985293574	0.0721194091	take place leave keep bring use away care bad set	no		no		no	
Topic_9	-2.1790903832	0.0293444396	woman wife husband child look call marriage beauty dress beautiful	no		no		no	
Topic_23	-2.8537595563	0.0043275426	house window street garden place leave live walk hear servant	no		no		no	
Topic_17	-3.5488192423	0.0003884046	old year big family poor age live ago remember white	no		no		no	
Topic_30	-4.6044460327	4.177877571653185e-06	eye face smile voice turn head lip white glance stand	no		no		no	
Topic_21	-7.6851421012	1.6437797705708222e-14	night light sleep hour bed morning dark sit evening darkness	no		no		no	
Topic_25	-13.3107965676	3.549562630961648e-40	letter write read paper send word hand open take note	no		yes	setting	no	
Topic_29	-13.7449993798	1.0366489296365984e-42	life world live year dream soul death human die nature	no		yes	theme	no	
Topic_22	-14.4529033609	5.774548995638235e-47	time end happen work minute second keep eye hour lose	no		no		no	
Topic_3	-14.6882513395	1.8190068370897462e-48	door open light stand window close step wall lock floor	no		no		no	
Topic_41	-15.3645262666	8.201409866965165e-53	work book story read write york author year paper novel	no		yes	setting	no	
Topic_0	-18.7595717017	1.880195738703661e-77	little child quite sit sort away world presently side suddenly	no		no		no	
Topic_38	-21.2314635309	1.2469966935703928e-98	reply return exclaim place leave continue remark add enter professor	no		no		no	
Topic_4	-23.8132562903	7.346464646551477e-123	feel away face leave want heart sit feeling mind walk	no		no		no	
Topic_26	-25.9205193215	9.772247466362631e-145	find place leave return eye hear bring discover sure follow	no		no		no	
Topic_16	-28.8377644456	3.110725795361718e-178	girl daughter pretty heart sister away school take call dress	no		no		no	
Topic_35	-30.8105477827	1.7134226348818164e-204	doctor dr kennedy patient nurse case die call bed poor	no		no		no	
Topic_12	-36.3951520526	1.3182295715208003e-276	look turn round walk sit stand wonder show notice glance	no		no		no	
Topic_36	-37.4569217041	1.6319232265490235e-293	fact matter mind mean quite course word question point reason	no		no		no	
Topic_48	-37.8937772174	8.47699890536772e-301	dear quite aunt course really smile laugh poor uncle mean	no		no		no	
Topic_32	-44.1178572612	0.0	earth light ship space air planet world power force work	no		no		no	
Topic_43	-47.3968806627	0.0	room table window chair leave bed hall sit floor enter	no		no		no	
Topic_37	-49.3160473367	0.0	car street train road turn hour minute station leave drive	no		no		no	
Topic_20	-62.2415115035	0.0	case murder detective police death dead evidence crime fact body	no		no		no	
Topic_15	-66.073714279	0.0	want right mean talk work course money away keep help	no		no		no	
