topic_no	topic_zeta	topic_words	interpretable?_BC	category_BC	interpretable?_JR	category_JR	interpretable?_LV	category_LV	interpretable?_phi4	category_phi4
4	0.0453363928	[want, woman, mean, eyes, dear, loved, heart, life, won, understand]	yes	theme	yes	theme	yes	theme	yes	theme
2	0.0446283391	[heart, life, woman, felt, knew, eyes, world, face, loved, girl]	yes	main character	yes	theme	yes	theme	yes	style
7	0.0155595354	[ye, ter, dat, fer, ain, wi, says, de, th, git]	no		no		yes	style	yes	style
10	0.0112268586	[hair, dress, beauty, eyes, white, woman, beautiful, face, hat, black]	yes	main character	yes	main character	yes	main character	yes	main character
19	0.0073427809	[trees, valley, snow, hills, green, grass, sky, tree, mountain, water]	yes	setting	yes	setting	yes	setting	no	
25	0.0067863967	[hilbery, denham, knutty, garribardine, mcnally, strobridge, selincourt, milvain, bush, tante]	no		no		no		no	
5	0.0067650009	[horse, horses, saddle, road, ride, mare, rode, rider, riding, animal]	yes	setting	yes	setting	yes	setting	no	
18	0.0063813988	[saltash, krill, capper, larpent, lord saltash, wright, bolton, sheppard, eyes, hurd]	no		no		no		no	
33	0.0062561953	[osmond, touchett, warburton, lord warburton, rosier, madame, goodwood, stackpole, countess, gardencourt]	no		no		yes	main character	no	
45	0.0058026768	[densher, stringham, lowder, olwen, aunt, croy, manford, hadn, really, theale]	no		no		no		no	
51	0.0050271204	[dashwood, winsome, darnley, peden, mayfield, sir dashwood, jock, kissock, dower, father]	no		no		yes	style	yes	main character
14	0.0046094358	[money, pounds, dollars, cheque, bank, pay, business, notes, want, sum]	yes	theme	yes	theme	yes	setting	no	
59	0.0046080413	[yusuf, squire, josina, ovington, ulysse, thursa, ste, duncombe, sheyk, mabane]	no		no		yes	main character	no	
71	0.0043486051	[dunham, girl, going, dear, judge, won, eyes, isn, want, didn]	no		yes	main character	yes	theme	no	
65	0.0042887556	[wastewater, aunt, fleming, thryng, mother, frale, hoke, hedda, baby, hoyle]	no		no		yey	main character	no	
30	0.0041672278	[levice, ainslie, kemp, alwynn, spurlock, winfield, dr kemp, hepsey, wingrave, mcclintock]	no		no		no		no	
66	0.003929526	[merton, colwood, marsham, london, ferrier, tallyn, beechcote, fotheringham, sir, house]	no		no		yes	setting	no	
20	0.0038375367	[mcgivney, guffey, watts, de voe, voe, alloi, reds, stirling, boyer, mclean]	no		no		no		no	
68	0.0037049817	[levin, vronsky, arkadyevitch, stepan arkadyevitch, stepan, ivanovitch, sergey, sergey ivanovitch, sviazhsky, alexey]	no		no		no		no	
96	0.0035401362	[waveney, ingram, everard, moritz, monsieur blackie, thorold, chaytor, blackie, dear, returned waveney]	no		no		no		no	
35	0.0034988162	[duke, highness, jester, majesty, fool, countess, castle, free baron, eyes, face]	yes	main character	yes	main character	yes	main character	yes	main character
61	0.0034925391	[father, mother, child, daughter, heart, dear, life, god, loved, woman]	yes	theme	yes	theme	yes	theme	yes	theme
82	0.0034801358	[aldous, raeburn, hallin, wharton, hurd, mellor, aldous raeburn, winterbourne, westall, mother]	no		no		yes	main character	no	
85	0.0032118211	[houghton, jacky, newbolt, bingo, medfield, mercer, green hill, didn, tolly, child]	no		no		yes	setting	no	
102	0.0031746295	[violin, diotti, music, violinist, play, piano, anstruther, string, fiddle, sanders]	no		no		yes	main character	no	
143	0.0031160052	[krafft, dove, schwarz, schilsky, furst, heinz, piano, landale, frau, guest]	no		no		yes	setting	no	
174	0.0029344771	[tea, cup, coffee, table, cup tea, sugar, meyfield, pooker, eat, hot]	no		yes	setting	yes	setting	no	
77	0.0029102923	[eustacia, wildeve, thomasin, yeobright, clym, venn, reddleman, blooms end, vye, egdon]	no		no		no		no	
37	0.0029024882	[jem, sunnie, trevelyan, sybella, fergusson, dr fergusson, devereux, cure, villiers, briggerland]	no		no		yes	main character	yes	main character
94	0.0028617717	[piers, tudor, lorimer, crowther, denys, sir piers, evesham, sir, guyes, piers eyes]	no		no		yes	main character	no	
97	0.002792742	[pe, florimel, ye, laird, wad, gien, dinna, lord, catanach, wi]	no		no		no		no	
129	0.0027774356	[treharne, judd, mother, heloise, schilsky, hosmer, daughter, dear, school, langdon]	no		no		yes	theme	no	
70	0.0026892729	[eustace, biddy, sir eustace, bathurst, stumpy, de vigne, vigne, ye, dance, studley]	no		no		no		no	
36	0.0026021846	[haddon, sir, rutland, haddon hall, girl, crawford, peyton, leicester, aunt, father]	no		no		yes	theme	no	
76	0.0025550402	[vaux, adrea, de vaux, dmitry, ravenel, fez, cottrell, beecot, paulet, lucerne]	no		no		no		no	
137	0.0024606004	[gavegan, brainard, ellison, barlow, duchess, carlisle, hunt, langly, hannigan, sartwell]	no		no		no		no	
62	0.002384841	[life, world, self, mind, sense, power, knew, success, years, felt]	no		yes	main character	yes	main character	no	
195	0.0023468767	[ste, hartley, benham, hara, captain, nilssen, coira, rue, rue du faubourg, du faubourg]	no		no		yes	setting	no	
188	0.002284275	[barn, hollister, car, mother, old barn, watson, school, hollisters, glenside, winthrop]	no		yes	setting	yes	setting	no	
58	0.0022215224	[leycester, etheridge, lord leycester, adelstone, penfold, everard, naniescu, uncle, smile, eyes]	no		no		yes	style	no	
221	0.0021514184	[aliette, brunton, cavendish, wilberforce, alie, de moulny, moulny, mother, wife, legal]	no		no		yes	style	no	
86	0.002129684	[fyne, de barral, barral, fynes, little fyne, girl, marlow, de, governess, solemnity]	no		no		yes	main character	yes	main character
116	0.002110551	[newman, bellegarde, de bellegarde, madame de, cintré, de cintré, madame de cintré, madame de bellegarde, madame, de]	no		no		yes	main character	no	
63	0.0020862153	[ryder, rossmore, judge rossmore, stott, bagley, judge, ryder sr, senator, sr, father]	no		no		yes	main character	no	
315	0.0020709089	[bayard, pepper, ridley, play, dalloway, glenister, beaumerville, struve, face, hamadryad]	no		no		yes	style	no	
153	0.0020594291	[somerset, stancy, de stancy, havill, dare, de, castle, captain de stancy, goodman, captain de]	no		no		yes	main character	yes	main character
256	0.0019930007	[nap, carfax, capper, zu, baronmead, penruddocke, seraph, isn, waring, master]	no		no		no		no	
192	0.0019891741	[melbury, fitzpiers, winterborne, charmond, hintock, giles, timber merchant, timber, merchant, sherton]	no		no		yes	setting	no	
163	0.0019813701	[dance, dancing, danced, waltz, dancers, partner, music, dances, dancer, girls]	yes	theme	yes	theme	yes	theme	yes	setting
332	0.0019789196	[towne, ember, evans, molloy, jerce, baldy, formula, heritage, mcginity, things]	no		no				no	
74	0.0019584105	[willoughby, laetitia, sir willoughby, middleton, crossjay, de craye, craye, dr middleton, mountstuart, whitford]								
203	0.0019584105	[artist, harringay, painting, paint, pictures, picture, work, studio, sybert, artists]								
98	0.0019380522	[amherst, bessy, langhope, westmore, wyant, ansell, hanaford, gaines, lynbrook, tredegar]								
260	0.0019265724	[smith, mellicent, blaisdell, duff, pennock, fulton, blaisdells, father duff, hillerton, money]								
186	0.0019265724	[panney, drane, mostyn, la fleur, fleur, bannister, cobhurst, tolbridge, denning, rawdon]								
135	0.0019124912	[craven, sellingworth, tuyn, braybrooke, cronin, garstin, arabian, berkeley square, ackroyde, berkeley]								
242	0.0018231033	[aimée, gowan, griffith, grif, macdowlas, phemie, bloomsbury place, chandos, bilberry, vagabondia]								
73	0.0017859117	[kells, cleve, gulden, pearce, bandit, gold, bate, camp, cabin, blicky]								
290	0.0017681548	[penhallow, rivers, aunt, mcgregor, uncle, squire, mills, grey pine, westways, grey]								
154	0.0017655534	[denton, jennings, fairbanks, watkins, forbes, store, girls, girl, mag, manse]								
360	0.0017655534	[bride, wedding, bridegroom, bridal, church, ceremony, bride bridegroom, marriage, married, guests]								
55	0.0017487201	[desert, arab, camels, rrisa, domini, sand, camel, arabs, allah, master]								
341	0.001731114	[arabian, garstin, tuyn, craven, portrait, studio, arab, domini, batouch, ay]								
42	0.0017256096	[bristo, fancy, shiner, gilder, father, colonel bristo, dickory, dicky, edmonstone, wetheral]								
164	0.0017246861	[neuburg, gatineau, heloise, siwash, gunning, seadon, méduse, squire, reys, cobalt]								
327	0.0016608591	[burnit, trimmer, applerod, sharpe, brightlight, jolter, biff, stock, _bulletin_, business]								
307	0.001659483	[_q, _a, banfi, woman, quest, door, halliwell, saw, voice, apafi]								
170	0.0016467779	[powell, captain, mate, poop, _ferndale_, ship, smith, captain wife, deck, skylight]								
136	0.0016429513	[giles, toppie, vervier, madame vervier, maman, andré, madame, de maubert, monsieur de maubert, maubert]								
216	0.0016391247	[maryon, rooke, trenby, maryon rooke, mallow, lord st, trenby hall, st, mcbain, hallemeier]								
223	0.0016352981	[caliphronas, justinian, crispin, melnos, greek, roylands, andros, alcibiades, demarch, count]								
239	0.0016135638	[pasmer, mavering, brinkley, munt, saintsbury, mother, cotton, boardman, class day, girl]								
184	0.0016097372	[dr hartwell, hartwell, asbury, guardian, charon, dr, dr asbury, child, orphan, countenance]								
337	0.001602084	[cytherea, manston, aldclyffe, springrove, graye, raunham, knapwater, carriford, rector, steward]								
123	0.001595656	[beppo, popeau, aunt cosy, polda, la solitude, cosy, countess, fairfield, solitude, beppo polda]								
396	0.0015880028	[howe, howes, aunt, ain, melviny, webster, ee, bancroft, eggs, nothin]								
134	0.0015598405	[birkin, hermione, antan, loerke, really, snow, tab, pure, isn, wanted]								
222	0.0015394822	[mayo, captain mayo, candage, marston, captain candage, captain, fogg, schooner, skipper, wass]								
328	0.0015215745	[upton, mehitable, whipp, carder, whitcomb, mehit, girl, mother, keefe, returned]								
145	0.0015151465	[lallie, clonmell, ballinger, signorina, bevan, adriance, wentworth, emileen, wilder, johns]								
114	0.0015074933	[feathers, heriot, dakers, atkins, lawless, golf, looked, knew, laughed, heart]								
273	0.0015062681	[phillotson, arabella, christminster, marygreen, edlin, shaston, alfredston, melchester, school, fawley]								
298	0.0015062681	[grizel, elspeth, corp, pym, sandys, gemmell, den, gavinia, glove, thrums]								
167	0.0014998401	[lambert, dalrymple, blodgett, wandel, goodhue, planter, old planter, princeton, bailly, didn]								
119	0.0014921869	[jinnie, lafe, grandoken, cobbler, morse, maudlin, fiddle, merriweather, happy, jinnie grandoken]								
205	0.0014921869	[beatrix, larpent, keene, vanderdyke, honoria, _galatea_, aunt honoria, brownie, fraser, yacht]								
198	0.0014921869	[mather, pease, harmon, fenno, colonel, blanchard, chebasset, mill, jenks, father]								
257	0.0014883603	[parkman, dr parkman, beason, hubers, dr, things, work, dr hubers, laboratory, understanding]								
329	0.0014768805	[lingard, travers, alcacer, jorgenson, hassim, jaffir, belarab, immada, tengga, brig]								
89	0.001445966	[fish, trout, fishing, water, hook, ellison, stream, pool, fisherman, bait]								
411	0.0014398397	[bathsheba, boldwood, liddy, oak, weatherbury, everdene, farmer, coggan, farmer boldwood, casterbridge]								
454	0.0014398397	[alexey, alexey alexandrovitch, alexandrovitch, seryozha, stepan arkadyevitch, arkadyevitch, stepan, vronsky, divorce, position]								
435	0.0014257586	[ustane, thou, billali, _she_, job, kallikrates, thee, amahagger, mother gutch, baboon]								
331	0.001421932	[stair, raincy, ferris, eben, mcclure, cairn ferris, bothy, whitefoot, cairn, blairmore]								
226	0.001415504	[richmond, hanky, vanderkief, father, mother, boller, daughter, macallister, girl, dear]								
310	0.0014142788	[mills, shep, shepherd, storrs, henderson, laconia, freemans, whitford, shepherd mills, deer trail]								
151	0.0014040242	[greenfield, worth, basin, holmes, company, engineer, kingston, surveyor, desert, seer]								
373	0.0013887178	[wright, pluto, aunt, barrel, ballard, brewster, cat, returned, manning, island]								
366	0.0013848912	[ravenal, parthy, hawks, _cotton, _cotton blossom_, blossom_, show boat, schultzy, river, boat]								
465	0.0013810646	[androvsky, domini, desert, tent, trevignac, priest, de trevignac, sand, anteoni, beni]								
